Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Breshad Perriman (15355972),Breshad Perriman,15355972,WR/FLEX,3800,SF@NYJ 09/20/2020 01:00PM ET,NYJ,4.7
TE,Jimmy Graham (15356212),Jimmy Graham,15356212,TE/FLEX,3800,NYG@CHI 09/20/2020 01:00PM ET,CHI,11.5
WR,Tim Patrick (15355978),Tim Patrick,15355978,WR/FLEX,3800,DEN@PIT 09/20/2020 01:00PM ET,DEN,6.9
DST,Steelers  (15356388),Steelers ,15356388,DST,3800,DEN@PIT 09/20/2020 01:00PM ET,PIT,8
WR,Mecole Hardman (15355976),Mecole Hardman,15355976,WR/FLEX,3800,KC@LAC 09/20/2020 04:25PM ET,KC,1.6
WR,Equanimeous St. Brown (15355990),Equanimeous St. Brown,15355990,WR/FLEX,3700,DET@GB 09/20/2020 01:00PM ET,GB,0
WR,Marvin Hall (15355992),Marvin Hall,15355992,WR/FLEX,3700,DET@GB 09/20/2020 01:00PM ET,DET,3.6
WR,Vyncint Smith (15355988),Vyncint Smith,15355988,WR/FLEX,3700,SF@NYJ 09/20/2020 01:00PM ET,NYJ,0
DST,Bears  (15356389),Bears ,15356389,DST,3700,NYG@CHI 09/20/2020 01:00PM ET,CHI,3
TE,Dalton Schultz (15356216),Dalton Schultz,15356216,TE/FLEX,3700,ATL@DAL 09/20/2020 01:00PM ET,DAL,2.1
WR,Zach Pascal (15355980),Zach Pascal,15355980,WR/FLEX,3700,MIN@IND 09/20/2020 01:00PM ET,IND,3.8
WR,Chad Beebe (15355986),Chad Beebe,15355986,WR/FLEX,3700,MIN@IND 09/20/2020 01:00PM ET,MIN,0
TE,Dawson Knox (15356214),Dawson Knox,15356214,TE/FLEX,3700,BUF@MIA 09/20/2020 01:00PM ET,BUF,4.6
WR,Andy Isabella (15355984),Andy Isabella,15355984,WR/FLEX,3700,WAS@ARI 09/20/2020 04:05PM ET,ARI,0
WR,Joe Reed (15355982),Joe Reed,15355982,WR/FLEX,3700,KC@LAC 09/20/2020 04:25PM ET,LAC,0
WR,Chris Conley (15355994),Chris Conley,15355994,WR/FLEX,3600,JAX@TEN 09/20/2020 01:00PM ET,JAX,1.6
TE,Jack Doyle (15356220),Jack Doyle,15356220,TE/FLEX,3600,MIN@IND 09/20/2020 01:00PM ET,IND,7.9
