Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
248,Bryan Edwards\EdwaBr01,LVR,WR,22,2,2,0,0,0,0,0,0,0,,0,3,3,51,17.00,0,0,0,0,,,5,8.1,8.1,6.6,,102,
249,Josh Reynolds\ReynJo00,LAR,WR,25,2,2,0,0,0,0,0,0,0,,0,3,3,50,16.67,0,0,0,0,,,5,8.0,8.0,6.5,,104,
250,Patrick Ricard\RicaPa00,BAL,RB,26,2,1,0,0,0,0,0,1,-1,-1.00,0,2,2,10,5.00,1,1,1,1,,,5,6.9,7.9,5.9,,71,
251,Kyle Juszczyk\JuszKy00,SFO,RB,29,2,2,0,0,0,0,0,1,7,7.00,0,4,3,47,15.67,0,0,0,0,,,5,8.4,8.4,6.9,,67,
252,George Kittle\KittGe00,SFO,TE,27,1,1,0,0,0,0,0,1,9,9.00,0,5,4,44,11.00,0,0,0,0,,,5,9.3,9.3,7.3,,31,
253,Justin Watson\WatsJu01,TAM,WR,25,2,1,0,0,0,0,0,0,0,,0,5,3,54,18.00,0,0,0,0,,,5,8.4,8.4,6.9,,100,
254,J.D. McKissic\McKiJ.00,WAS,RB,27,2,1,0,0,0,0,0,11,51,4.64,0,5,1,1,1.00,0,0,0,0,,,5,6.2,6.2,5.7,,70,
255,Dawson Knox\KnoxDa00,BUF,TE,24,2,1,0,0,0,0,0,0,0,,0,6,3,62,20.67,0,1,1,0,,,4,7.2,8.2,5.7,,37,
256,Tee Higgins\HiggTe00,CIN,WR,21,2,1,0,0,0,0,0,0,0,,0,6,3,35,11.67,0,0,0,0,,,4,6.5,6.5,5.0,,113,
257,Austin Hooper\HoopAu00,CLE,TE,26,2,2,0,0,0,0,0,0,0,,0,6,4,37,9.25,0,0,0,0,,,4,7.7,7.7,5.7,,39,
258,Jordan Wilkins\WilkJo01,IND,RB,26,2,0,0,0,0,0,0,9,40,4.44,0,0,0,0,,0,0,0,0,,,4,4.0,4.0,4.0,,77,
259,Tony Pollard\PollTo00,DAL,RB,23,2,1,0,0,0,0,0,4,16,4.00,0,4,3,25,8.33,0,0,0,0,,,4,7.1,7.1,5.6,,76,
260,Phillip Lindsay\LindPh00,DEN,RB,26,1,1,0,0,0,0,0,7,24,3.43,0,1,1,11,11.00,0,0,0,0,,,4,4.5,4.5,4.0,,78,
261,James O'Shaughnessy\O'ShJa00,JAX,TE,28,2,2,0,0,0,0,0,0,0,,0,5,5,40,8.00,0,0,0,0,,,4,9.0,9.0,6.5,,38,
262,Darrel Williams\WillDa10,KAN,RB,25,2,0,0,0,0,0,0,7,23,3.29,0,3,3,19,6.33,0,0,0,0,,,4,7.2,7.2,5.7,,75,
263,Ryan Izzo\IzzoRy00,NWE,TE,25,2,2,0,0,0,0,0,0,0,,0,4,3,44,14.67,0,0,0,0,,,4,7.4,7.4,5.9,,36,
264,Cameron Batson\BatsCa00,TEN,WR,25,1,0,0,0,0,0,0,1,11,11.00,0,2,2,26,13.00,0,0,0,0,,,4,5.7,5.7,4.7,,111,
